èíslo úètu;Popis;Poznámka
SK9681800000007000450038;Príjmovı úètet v Štátnej pokladnici:;Colnı úrad - Vymáhanie poh¾adávok v zahranièí
SK4281800000007000552763;Príjmovı úètet v Štátnej pokladnici:;Colnı úrad - Exekuènı úèet
SK3481800000007000450281;Príjmovı úètet v Štátnej pokladnici:;Colné a daòové príjmy poboèka Banská Bystrica
SK4981800000007000450302;Príjmovı úètet v Štátnej pokladnici:;Depozit - colná zábezpeka poboèka Banská Bystrica
SK9681800000007000450329;Príjmovı úètet v Štátnej pokladnici:;Colné a daòové príjmy poboèka Bratislava
SK7481800000007000450337;Príjmovı úètet v Štátnej pokladnici:;Depozit - colná zábezpeka poboèka Bratislava
SK3081800000007000450353;Príjmovı úètet v Štátnej pokladnici:;Colné a daòové príjmy poboèka Michalovce
SK0881800000007000450361;Príjmovı úètet v Štátnej pokladnici:;Depozit - colná zábezpeka poboèka Michalovce
SK3381800000007000450396;Príjmovı úètet v Štátnej pokladnici:;Colné a daòové príjmy poboèka Košice
SK7081800000007000450409;Príjmovı úètet v Štátnej pokladnici:;Depozit - colná zábezpeka poboèka Košice
SK2681800000007000450425;Príjmovı úètet v Štátnej pokladnici:;Colné a daòové príjmy poboèka Trnava
SK0481800000007000450433;Príjmovı úètet v Štátnej pokladnici:;Depozit - colná zábezpeka poboèka Trnava
SK2981800000007000450468;Príjmovı úètet v Štátnej pokladnici:;Colné a daòové príjmy poboèka ilina
SK0781800000007000450476;Príjmovı úètet v Štátnej pokladnici:;Depozit - colná zábezpeka poboèka ilina
SK6081800000007000450492;Príjmovı úètet v Štátnej pokladnici:;Colné a daòové príjmy poboèka Nitra
SK9781800000007000450505;Príjmovı úètet v Štátnej pokladnici:;Depozit - colná zábezpeka poboèka Nitra
SK5381800000007000450521;Príjmovı úètet v Štátnej pokladnici:;Colné a daòové príjmy poboèka Prešov
SK0381800000007000450548;Príjmovı úètet v Štátnej pokladnici:;Depozit - colná zábezpeka poboèka Prešov
SK5681800000007000450564;Príjmovı úètet v Štátnej pokladnici:;Colné a daòové príjmy poboèka Trenèín
SK3481800000007000450572;Príjmovı úètet v Štátnej pokladnici:;Depozit - colná zábezpeka poboèka Trenèín
SK9181800000007000155733;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Bratislava
SK8781800000007000155805;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Trnava
SK9081800000007000155848;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Dunajská Streda
SK2481800000007000155872;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Galanta
SK1781800000007000155901;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Senica
SK2081800000007000155944;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Trenèín
SK4581800000007000155979;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Povaská Bystrica
SK6581800000007000156007;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Prievidza
SK9681800000007000156031;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Nitra
SK0281800000007000156074;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Komárno
SK9281800000007000156103;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Levice
SK9581800000007000156146;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Nové Zámky
SK2981800000007000156170;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Topo¾èany
SK9181800000007000156218;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka ilina
SK2581800000007000156242;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Èadca
SK5081800000007000156277;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Dolnı Kubín
SK4381800000007000156306;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Liptovskı Mikuláš a Vysunuté pracovisko - Ruomberok
SK7481800000007000156330;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Martin
SK0281800000007000156365;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Banská Bystrica a Vysunuté pracovisko - Brezno
SK7081800000007000156402;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Luèenec
SK9581800000007000156437;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Rimavská Sobota
SK9581800000007000156728;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Ve¾kı Krtíš
SK2981800000007000156752;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Zvolen
SK5481800000007000156787;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka iar nad Hronom
SK4781800000007000156816;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Prešov
SK7881800000007000156840;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Bardejov
SK0681800000007000156875;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Humenné a Vysunuté pracovisko - Snina
SK2481800000007000156939;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Poprad
SK9681800000007000156904;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Stará ¼ubovòa
SK5581800000007000156963;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Svidník
SK2581800000007000157018;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Vranov nad Top¾ou
SK5681800000007000157042;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Košice
SK7481800000007000157106;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Michalovce
SK0881800000007000157130;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Roòava
SK3381800000007000157165;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Spišská Nová Ves
SK0481800000007000157202;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Trebišov
SK4481800000007000164533;Príjmovı úètet v Štátnej pokladnici:;úèet v Štátnej pokladnici, na ktoré smerujú platby oslobodené od transakènej dane
SK3881800000007000181034;Príjmovı úètet v Štátnej pokladnici:;úèet v Štátnej pokladnici, na ktoré smerujú platby oslobodené od transakènej dane
SK2281800000007000164541;Príjmovı úètet v Štátnej pokladnici:;Sociálna poisovòa poboèka Bratislava
SK4881800000007000165528;Príjmovı úètet v Štátnej pokladnici:;úèet v Štátnej pokladnici, na ktoré smerujú platby oslobodené od transakènej dane
SK2681800000007000165536;Príjmovı úètet v Štátnej pokladnici:;úèet v Štátnej pokladnici, na ktoré smerujú platby oslobodené od transakènej dane
SK0481800000007000165544;Príjmovı úètet v Štátnej pokladnici:;úèet v Štátnej pokladnici, na ktoré smerujú platby oslobodené od transakènej dane
SK7981800000007000165552;Príjmovı úètet v Štátnej pokladnici:;úèet v Štátnej pokladnici, na ktoré smerujú platby oslobodené od transakènej dane
SK8881800000007000164517;Príjmovı úètet v Štátnej pokladnici:;úèet v Štátnej pokladnici, na ktoré smerujú platby oslobodené od transakènej dane
SK4681800000007000604877;Príjmovı úètet v Štátnej pokladnici:;úèet v Štátnej pokladnici, na ktoré smerujú platby oslobodené od transakènej dane
SK8381800000007000640683;Príjmovı úètet v Štátnej pokladnici:;úèet v Štátnej pokladnici, na ktoré smerujú platby oslobodené od transakènej dane
SK4981800000007000464464;Príjmovı úètet v Štátnej pokladnici:;Dôvera – SZÈO ako platitelia poistného a samoplatitelia
SK5281800000007000747747;Príjmovı úètet v Štátnej pokladnici:;Dôvera – zamestnávatelia ako platitelia poistného
SK4281800000007000221411;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Bratislava
SK6781800000007000221446;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Trnava
SK4581800000007000221454;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Dunajská Streda
SK2381800000007000221462;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Galanta
SK9881800000007000221470;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Senica
SK7081800000007000221489;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Trenèín
SK4881800000007000221497;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Povaská Bystrica
SK6381800000007000221518;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Prievidza
SK4181800000007000221526;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Nitra
SK1981800000007000221534;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Komárno
SK9481800000007000221542;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Levice
SK7281800000007000221550;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Nové Zámky
SK4481800000007000221569;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Topo¾èany
SK2281800000007000221577;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Banská Bystrica
SK9781800000007000221585;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Luèenec
SK7581800000007000221593;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Rimavská Sobota
SK1581800000007000221606;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Zvolen
SK9081800000007000221614;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka iar nad Hronom
SK6881800000007000221622;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka ilina
SK4681800000007000221630;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Èadca
SK1881800000007000221649;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Dolnı Kubín
SK9381800000007000221657;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Liptovskı Mikuláš/Ruomberok
SK7181800000007000221665;Príjmovı úètet v Štátnej pokladnici:;úèet v Štátnej pokladnici, na ktoré smerujú platby oslobodené od transakènej dane
SK4981800000007000221673;Príjmovı úètet v Štátnej pokladnici:;úèet v Štátnej pokladnici, na ktoré smerujú platby oslobodené od transakènej dane
SK2781800000007000221681;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Bardejov
SK4281800000007000221702;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Humenné
SK2081800000007000221710;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Poprad
SK8981800000007000221729;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Stará ¼ubovòa
SK6781800000007000221737;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Svidník
SK4581800000007000221745;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Vranov nad Top¾ou
SK2381800000007000221753;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Košice - mesto
SK9881800000007000221761;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Michalovce
SK4881800000007000221788;Príjmovı úètet v Štátnej pokladnici:;VZP poboèka Roòava
SK1381800000003030303030;Príjmovı úètet v Štátnej pokladnici:;úèet v Štátnej pokladnici, na ktoré smerujú platby oslobodené od transakènej dane s úèinnosou od 15.5.2025
SK4981800000007000060750;Príjmovı úètet v Štátnej pokladnici:;úèet v Štátnej pokladnici, na ktoré smerujú platby oslobodené od transakènej dane s úèinnosou od 15.5.2025
SK5381800000007000119169;Príjmovı úètet v Štátnej pokladnici:;úèet v Štátnej pokladnici, na ktoré smerujú platby oslobodené od transakènej dane s úèinnosou od 15.5.2025
SK4881800000007000619294;Príjmovı úètet v Štátnej pokladnici:;úèet v Štátnej pokladnici, na ktoré smerujú platby oslobodené od transakènej dane s úèinnosou od 15.5.2025
SK5481800000007000617731;Príjmovı úètet v Štátnej pokladnici:;úèet v Štátnej pokladnici, na ktoré smerujú platby oslobodené od transakènej dane s úèinnosou od 15.5.2025
SK7681800000007000447197;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK2581800000007000536288;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK7581800000007000536261;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK9781800000007000536253;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK2281800000007000536245;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK3981800000007000538267;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK1781800000007000538275;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo hospodárstva.  Úèet pre ÚVA BA
SK9281800000007000538283;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo hospodárstva.  Úèet pre ÚVA ZV
SK1081800000007000538304;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo hospodárstva.   Úèet pre ÚVA KE
SK8581800000007000538312;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK5781800000007000678884;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK3581800000007000678892;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK7681800000007000679027;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK3181800000007000693320;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK6481800000007000584765;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK0681800000007000687465;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK8981800000007000539307;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK6781800000007000539315;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo vnútra.  Úèet pre ÚVA BA
SK4581800000007000539323;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo vnútra.  Úèet pre ÚVA ZV
SK2381800000007000539331;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo vnútra.   Úèet pre ÚVA KE
SK6181800000007000523030;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK2681800000007000678569;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK2381800000007000678526;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK3081800000007000678497;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK1281800000007000661943;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK4381800000007000535867;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK4881800000007000426070;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK2181800000007000535875;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK9681800000007000535883;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK7481800000007000535891;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK7181800000007000536624;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK6781800000007000536114;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK4981800000007000536632;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo ivotného prostredia.  Úèet pre ÚVA BA
